g,minx,maxx,miny,maxy,minz,maxz
0.8,-0.005949660349970415,0.005949660349970415,0.38011275620313145,0.3900449561000689,-0.9203292436231687,-0.8991491293240516
0.8500000000000001,-0.006888216173654631,0.006888216173654631,0.40089374423940044,0.41202869419247395,-0.9101086440889765,-0.8861969699508507
0.9,-0.00787913514843542,0.00787913514843542,0.4210729706745021,0.4334236255479259,-0.899284335555139,-0.8725223241288464
0.9500000000000001,-0.00891496073864421,0.00891496073864421,0.44060109038363193,0.45418080176849274,-0.8878614864852943,-0.8581509213399345
1.0,-0.009987996535600212,0.009987996535600212,0.4594278885214808,0.47426597847446994,-0.8758471163299827,-0.8431121439651574
1.05,-0.011090294307810073,0.011090294307810073,0.4775032786594698,0.49367936449759936,-0.8632504715461311,-0.8274391553806533
1.1,-0.012214164988021903,0.012214164988021903,0.49477781886561767,0.5124341498445968,-0.8500836702607205,-0.8111695755434395
1.1500000000000001,-0.013352036229771398,0.013352036229771398,0.5112031263578523,0.5305111273906633,-0.8363624648499094,-0.7943445721170418
1.2000000000000002,-0.014496747097242989,0.014496747097242989,0.5267329788725879,0.5478767013346675,-0.822106463762052,-0.7770083577149813
1.25,-0.015641676556373742,0.015641676556373742,0.5413238374636392,0.564492037664131,-0.8073396740101095,-0.7592092575400464
1.3,-0.01678073256354203,0.01678073256354203,0.5549363059614093,0.5803216661244186,-0.792090779837772,-0.74099875831239
1.35,-0.017908586695703867,0.017908586695703867,0.5675348133906224,0.595339638728982,-0.7763934575697713,-0.7224310487116028
1.4000000000000001,-0.019020601168747944,0.019020601168747944,0.5790898161393528,0.609521953395203,-0.7602862770626991,-0.7035629467840813
1.4500000000000002,-0.020112944744455387,0.020112944744455387,0.5895777227933718,0.6228440524659241,-0.743812324692531,-0.6844541399457538
1.5,-0.02118262644071579,0.02118262644071579,0.5989821527512903,0.6352819137082748,-0.7270186879769645,-0.6651660327277731
1.55,-0.022227387021462038,0.022227387021462038,0.6072939625024958,0.6468141604511196,-0.7099557984271605,-0.6457609969181478
1.6,-0.023245843414155885,0.023245843414155885,0.6145116438096009,0.6574239706802734,-0.6926762707148756,-0.6263025731425153
1.6500000000000001,-0.0242371639904554,0.0242371639904554,0.6206418041936413,0.6671000346577319,-0.6752335517522148,-0.6068539597683003
1.7000000000000002,-0.025201066777779103,0.025201066777779103,0.6256988922171023,0.6758368719408853,-0.6576821416994293,-0.5874771884479059
1.75,-0.026137596902726684,0.026137596902726684,0.6297057899042533,0.6836349509898081,-0.6400770655650133,-0.5682331070711941
1.8,-0.027047206556468927,0.027047206556468927,0.6326926245398493,0.6905006433120354,-0.622472649988891,-0.5491796543107985
1.85,-0.02793055906512414,0.02793055906512414,0.6346969425844564,0.6964461137222567,-0.6049215466113312,-0.5303718933926183
1.9000000000000001,-0.02878831365611379,0.02878831365611379,0.6357621676259168,0.7014891272250959,-0.587474194766963,-0.5118606288620721
1.9500000000000002,-0.029620958671589044,0.029620958671589044,0.6359369649639216,0.7056525878464858,-0.5701782351141879,-0.49369259621069383
